"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"	"NTI"
"A10r-L10_S12"	89	0.0586633579135342	0.265286700677969	0.0288812845287599	1	-7.15422967280695	0.001	999	7.15422967280695
"A10r-L7_S9"	112	0.0786881346228574	0.242825274101998	0.0229373730774062	1	-7.15588218952671	0.001	999	7.15588218952671
"A10r-L8_S10"	22	0.492700193006022	0.435788803134432	0.078788727255924	764	0.722329092672472	0.764	999	-0.722329092672472
"A10r-L9_S11"	100	0.0713701675511782	0.254447620952205	0.0267097099742307	1	-6.85434074640489	0.001	999	6.85434074640489
"A11K-L10_S44"	154	0.0717379757528115	0.213802393703411	0.0181725598682802	1	-7.8175237269995	0.001	999	7.8175237269995
"A11K-L7_S41"	231	0.0538094443145461	0.178203037380487	0.0131989052134925	1	-9.42453870634519	0.001	999	9.42453870634519
"A11K-L8_S42"	238	0.0429037444321086	0.17584284472404	0.0129170623682613	1	-10.2917440902491	0.001	999	10.2917440902491
"A11K-L9_S43"	124	0.0869961818991761	0.233953363851007	0.0229037584509163	1	-6.41629111950194	0.001	999	6.41629111950194
"A13r-L10_S16"	83	0.0824978824375328	0.271433813956661	0.0308189578494513	1	-6.13051007247126	0.001	999	6.13051007247126
"A13r-L7_S13"	75	0.127587758224172	0.282381360829395	0.0324989547951366	1	-4.7630332600231	0.001	999	4.7630332600231
"A13r-L8_S14"	37	0.120617884141675	0.365362861853834	0.0565629793524836	1	-4.3269463616296	0.001	999	4.3269463616296
"A13r-L9_S15"	24	0.174411135262829	0.421018469243539	0.075986241868109	1	-3.24542085406398	0.001	999	3.24542085406398
"A14K-L10_S48"	82	0.104624410689801	0.274285373134868	0.0310168713290473	1	-5.46995732242599	0.001	999	5.46995732242599
"A14K-L7_S45"	241	0.0829329029916505	0.17477047680321	0.0129532344853961	1	-7.08993370845713	0.001	999	7.08993370845713
"A14K-L8_S46"	65	0.208515359072545	0.297807478766166	0.0383748086869249	10	-2.326842080754	0.01	999	2.326842080754
"A14K-L9_S47"	190	0.0552286729866668	0.194895479427061	0.0161168087894322	1	-8.6659095026289	0.001	999	8.6659095026289
"A2r-L10_S4"	42	0.152540828866416	0.346839129545404	0.0515183926142338	1	-3.77143561395405	0.001	999	3.77143561395405
"A2r-L7_S1"	109	0.0656487138727051	0.245363422947621	0.0250755664405921	1	-7.16692520189674	0.001	999	7.16692520189674
"A2r-L8_S2"	67	0.093605487551921	0.29451090002385	0.0353333485005514	1	-5.68599979899427	0.001	999	5.68599979899427
"A2r-L9_S3"	17	0.38403317370551	0.473375214144363	0.0975622377688594	180	-0.915744067397455	0.18	999	0.915744067397455
"A3K-L10_S36"	133	0.0574941467264288	0.226807492175575	0.0208858251858399	1	-8.10661508188514	0.001	999	8.10661508188514
"A3K-L7_S33"	163	0.0690096304171581	0.208718897839267	0.0178565928710535	1	-7.82395994750965	0.001	999	7.82395994750965
"A3K-L8_S34"	178	0.0596043562463102	0.201447747979898	0.016548321825526	1	-8.57146683688447	0.001	999	8.57146683688447
"A3K-L9_S35"	195	0.0754428928489158	0.19305704096421	0.0152140261191319	1	-7.73063929260597	0.001	999	7.73063929260597
"A5r-L10_S8"	45	0.169095424922253	0.341300099027779	0.0481644335832917	1	-3.57534930433115	0.001	999	3.57534930433115
"A5r-L7_S5"	91	0.127434687321982	0.262833121018955	0.0286388636114093	1	-4.72778653280896	0.001	999	4.72778653280896
"A5r-L8_S6"	38	0.16689863131701	0.358462680290747	0.0565545338481227	1	-3.38724476959146	0.001	999	3.38724476959146
"A5r-L9_S7"	18	0.321074732533737	0.468363425968012	0.0928741528911655	46	-1.58589541706911	0.046	999	1.58589541706911
