"sampleID"	"Sample"	"Sample_type"	"Flask"	"Individual"	"DPE"	"Selection"	"Strain"	"Density_cell_uL"	"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"	"NTI"
"1"	"A10r-L10_S12"	"A10r-L10_S12"	"Gut"	"A10"	10	15	"r"	"A"	NA	89	0.0586633579135342	0.265286700677969	0.0288812845287599	1	-7.15422967280695	0.001	999	7.15422967280695
"2"	"A10r-L7_S9"	"A10r-L7_S9"	"Gut"	"A10"	7	15	"r"	"A"	NA	112	0.0786881346228574	0.242825274101998	0.0229373730774062	1	-7.15588218952671	0.001	999	7.15588218952671
"3"	"A10r-L8_S10"	"A10r-L8_S10"	"Gut"	"A10"	8	15	"r"	"A"	NA	22	0.492700193006022	0.435788803134432	0.078788727255924	764	0.722329092672472	0.764	999	-0.722329092672472
"4"	"A10r-L9_S11"	"A10r-L9_S11"	"Gut"	"A10"	9	15	"r"	"A"	NA	100	0.0713701675511782	0.254447620952205	0.0267097099742307	1	-6.85434074640489	0.001	999	6.85434074640489
"5"	"A10r-rw_S75"	"A10r-rw_S75"	"Rearing water"	"A10"	NA	15	"r"	"A"	"12300"	634	0.0151949565422506	0.106496349878512	0.00481981466761821	1	-18.9429261564075	0.001	999	18.9429261564075
"6"	"A11K-L10_S44"	"A11K-L10_S44"	"Gut"	"A11"	10	15	"K"	"A"	NA	154	0.0717379757528115	0.213802393703411	0.0181725598682802	1	-7.8175237269995	0.001	999	7.8175237269995
"7"	"A11K-L7_S41"	"A11K-L7_S41"	"Gut"	"A11"	7	15	"K"	"A"	NA	231	0.0538094443145461	0.178203037380487	0.0131989052134925	1	-9.42453870634519	0.001	999	9.42453870634519
"8"	"A11K-L8_S42"	"A11K-L8_S42"	"Gut"	"A11"	8	15	"K"	"A"	NA	238	0.0429037444321086	0.17584284472404	0.0129170623682613	1	-10.2917440902491	0.001	999	10.2917440902491
"9"	"A11K-L9_S43"	"A11K-L9_S43"	"Gut"	"A11"	9	15	"K"	"A"	NA	124	0.0869961818991761	0.233953363851007	0.0229037584509163	1	-6.41629111950194	0.001	999	6.41629111950194
"10"	"A11K-rw_S67"	"A11K-rw_S67"	"Rearing water"	"A11"	NA	15	"K"	"A"	"4000"	708	0.0271315401014511	0.100001785415093	0.00458338609052448	1	-15.8987796084409	0.001	999	15.8987796084409
"11"	"A13r-L10_S16"	"A13r-L10_S16"	"Gut"	"A13"	10	15	"r"	"A"	NA	83	0.0824978824375328	0.271433813956661	0.0308189578494513	1	-6.13051007247126	0.001	999	6.13051007247126
"12"	"A13r-L7_S13"	"A13r-L7_S13"	"Gut"	"A13"	7	15	"r"	"A"	NA	75	0.127587758224172	0.282381360829395	0.0324989547951366	1	-4.7630332600231	0.001	999	4.7630332600231
"13"	"A13r-L8_S14"	"A13r-L8_S14"	"Gut"	"A13"	8	15	"r"	"A"	NA	37	0.120617884141675	0.365362861853834	0.0565629793524836	1	-4.3269463616296	0.001	999	4.3269463616296
"14"	"A13r-L9_S15"	"A13r-L9_S15"	"Gut"	"A13"	9	15	"r"	"A"	NA	24	0.174411135262829	0.421018469243539	0.075986241868109	1	-3.24542085406398	0.001	999	3.24542085406398
"15"	"A13r-rw_S76"	"A13r-rw_S76"	"Rearing water"	"A13"	NA	15	"r"	"A"	"1900"	619	0.0234270411723006	0.108185851101808	0.00524254896138057	1	-16.1674808483213	0.001	999	16.1674808483213
"16"	"A14K-L10_S48"	"A14K-L10_S48"	"Gut"	"A14"	10	15	"K"	"A"	NA	82	0.104624410689801	0.274285373134868	0.0310168713290473	1	-5.46995732242599	0.001	999	5.46995732242599
"17"	"A14K-L7_S45"	"A14K-L7_S45"	"Gut"	"A14"	7	15	"K"	"A"	NA	241	0.0829329029916505	0.17477047680321	0.0129532344853961	1	-7.08993370845713	0.001	999	7.08993370845713
"18"	"A14K-L8_S46"	"A14K-L8_S46"	"Gut"	"A14"	8	15	"K"	"A"	NA	65	0.208515359072545	0.297807478766166	0.0383748086869249	10	-2.326842080754	0.01	999	2.326842080754
"19"	"A14K-L9_S47"	"A14K-L9_S47"	"Gut"	"A14"	9	15	"K"	"A"	NA	190	0.0552286729866668	0.194895479427061	0.0161168087894322	1	-8.6659095026289	0.001	999	8.6659095026289
"20"	"A14K-rw_S68"	"A14K-rw_S68"	"Rearing water"	"A14"	NA	15	"K"	"A"	"7400"	533	0.023951639178392	0.116901648576256	0.00618509036196852	1	-15.028076221716	0.001	999	15.028076221716
"21"	"A2r-L10_S4"	"A2r-L10_S4"	"Gut"	"A2"	10	15	"r"	"A"	NA	42	0.152540828866416	0.346839129545404	0.0515183926142338	1	-3.77143561395405	0.001	999	3.77143561395405
"22"	"A2r-L7_S1"	"A2r-L7_S1"	"Gut"	"A2"	7	15	"r"	"A"	NA	109	0.0656487138727051	0.245363422947621	0.0250755664405921	1	-7.16692520189674	0.001	999	7.16692520189674
"23"	"A2r-L8_S2"	"A2r-L8_S2"	"Gut"	"A2"	8	15	"r"	"A"	NA	67	0.093605487551921	0.29451090002385	0.0353333485005514	1	-5.68599979899427	0.001	999	5.68599979899427
"24"	"A2r-L9_S3"	"A2r-L9_S3"	"Gut"	"A2"	9	15	"r"	"A"	NA	17	0.38403317370551	0.473375214144363	0.0975622377688594	180	-0.915744067397455	0.18	999	0.915744067397455
"25"	"A2r-rw_S73"	"A2r-rw_S73"	"Rearing water"	"A2"	NA	15	"r"	"A"	"10500"	713	0.0164940222499377	0.0997948650636475	0.00440512866193079	1	-18.9099681772288	0.001	999	18.9099681772288
"26"	"A3K-L10_S36"	"A3K-L10_S36"	"Gut"	"A3"	10	15	"K"	"A"	NA	133	0.0574941467264288	0.226807492175575	0.0208858251858399	1	-8.10661508188514	0.001	999	8.10661508188514
