"Sample"	"Sample_type"	"Flask"	"Individual"	"DPE"	"Selection"	"Strain"	"Density_cell_uL"	"SampleType2"	"Group"	"dph"	"Sample_name"	"NTI"
"1"	"A10r-L10_S12"	"Gut"	"A10"	10	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A10_A"	7.15422967280695
"2"	"A10r-L7_S9"	"Gut"	"A10"	7	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A10_A"	7.15588218952671
"3"	"A10r-L8_S10"	"Gut"	"A10"	8	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A10_A"	-0.722329092672472
"4"	"A10r-L9_S11"	"Gut"	"A10"	9	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A10_A"	6.85434074640489
"5"	"A11K-L10_S44"	"Gut"	"A11"	10	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A11_A"	7.8175237269995
"6"	"A11K-L7_S41"	"Gut"	"A11"	7	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A11_A"	9.42453870634519
"7"	"A11K-L8_S42"	"Gut"	"A11"	8	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A11_A"	10.2917440902491
"8"	"A11K-L9_S43"	"Gut"	"A11"	9	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A11_A"	6.41629111950194
"9"	"A13r-L10_S16"	"Gut"	"A13"	10	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A13_A"	6.13051007247126
"10"	"A13r-L7_S13"	"Gut"	"A13"	7	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A13_A"	4.7630332600231
"11"	"A13r-L8_S14"	"Gut"	"A13"	8	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A13_A"	4.3269463616296
"12"	"A13r-L9_S15"	"Gut"	"A13"	9	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A13_A"	3.24542085406398
"13"	"A14K-L10_S48"	"Gut"	"A14"	10	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A14_A"	5.46995732242599
"14"	"A14K-L7_S45"	"Gut"	"A14"	7	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A14_A"	7.08993370845713
"15"	"A14K-L8_S46"	"Gut"	"A14"	8	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A14_A"	2.326842080754
"16"	"A14K-L9_S47"	"Gut"	"A14"	9	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A14_A"	8.6659095026289
"17"	"A2r-L10_S4"	"Gut"	"A2"	10	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A2_A"	3.77143561395405
"18"	"A2r-L7_S1"	"Gut"	"A2"	7	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A2_A"	7.16692520189674
"19"	"A2r-L8_S2"	"Gut"	"A2"	8	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A2_A"	5.68599979899427
"20"	"A2r-L9_S3"	"Gut"	"A2"	9	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A2_A"	0.915744067397455
"21"	"A3K-L10_S36"	"Gut"	"A3"	10	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A3_A"	8.10661508188514
"22"	"A3K-L7_S33"	"Gut"	"A3"	7	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A3_A"	7.82395994750965
"23"	"A3K-L8_S34"	"Gut"	"A3"	8	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A3_A"	8.57146683688447
"24"	"A3K-L9_S35"	"Gut"	"A3"	9	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A3_A"	7.73063929260597
"25"	"A5r-L10_S8"	"Gut"	"A5"	10	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A5_A"	3.57534930433115
"26"	"A5r-L7_S5"	"Gut"	"A5"	7	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A5_A"	4.72778653280896
"27"	"A5r-L8_S6"	"Gut"	"A5"	8	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A5_A"	3.38724476959146
"28"	"A5r-L9_S7"	"Gut"	"A5"	9	22	"r"	"A"	NA	"Gut"	"Gut_Add-r"	"22"	"22_A5_A"	1.58589541706911
"29"	"A6K-L10_S40"	"Gut"	"A6"	10	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A6_A"	7.1203920598176
"30"	"A6K-L7_S37"	"Gut"	"A6"	7	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A6_A"	4.74288327588491
"31"	"A6K-L8_S38"	"Gut"	"A6"	8	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A6_A"	2.72699572052853
"32"	"A6K-L9_S39"	"Gut"	"A6"	9	22	"K"	"A"	NA	"Gut"	"Gut_Add-K"	"22"	"22_A6_A"	6.89758808813269
"33"	"W10K-L10_S60"	"Gut"	"W10"	10	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W10_W"	1.94513026183858
"34"	"W10K-L7_S57"	"Gut"	"W10"	7	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W10_W"	6.41154602578097
"35"	"W10K-L8_S58"	"Gut"	"W10"	8	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W10_W"	6.81771340926504
"36"	"W10K-L9_S59"	"Gut"	"W10"	9	22	"K"	"W"	NA	"Gut"	"Gut_Add-K"	"22"	"22_W10_W"	7.96076239068576
