"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1"
"1","K4-aw_S83","ASV1",1.08349267049076,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)"
"2","K4-aw_S83","ASV3",0.773923336064828,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)"
"3","K4-aw_S83","ASV4",0.737503414367659,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)"
"4","K4-aw_S83","ASV14",28.2345442957298,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Moraxellaceae","uncl_f_Moraxellaceae","Moraxellaceae","ASV14 (f:Moraxellaceae)"
"5","K4-aw_S83","ASV39",0.0273149412728763,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","uncl_f_Comamonadaceae","Comamonadaceae","ASV39 (f:Comamonadaceae)"
"6","K4-aw_S83","ASV15",0.0182099608485842,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)"
"7","K4-aw_S83","ASV6",0.200309569334426,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)"
"8","K4-aw_S83","ASV28",0.00910498042429209,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","o_Sphingomonadales","f_Sphingomonadaceae","g_Sphingomonas","Sphingomonadaceae","ASV28 (g:Sphingomonas)"
"9","K4-aw_S83","ASV150",1.60247655467541,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","uncl_o_Pseudomonadales","uncl_o_Pseudomonadales","Unassigned","ASV150 (o:Pseudomonadales)"
"10","K4-aw_S83","ASV38",0,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","g_Acidovorax","Comamonadaceae","ASV38 (g:Acidovorax)"
"11","K4-aw_S83","ASV18",0.0728398433943367,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV18 (p:Proteobacteria)"
"12","K4-aw_S83","ASV24",0.0273149412728763,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV24 (p:Proteobacteria)"
"13","K4-aw_S83","ASV19",0.0182099608485842,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV19 (p:Proteobacteria)"
"14","K4-aw_S83","ASV52",7.19293453519075,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","uncl_c_Alphaproteobacteria","Unassigned","ASV52 (c:Alphaproteobacteria)"
"15","K4-aw_S83","ASV25",0.182099608485842,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV25 (g:Pseudomonas)"
"16","K4-aw_S83","ASV29",0.0182099608485842,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","uncl_c_Gammaproteobacteria","Unassigned","ASV29 (c:Gammaproteobacteria)"
"17","K4-aw_S83","ASV26",0.00910498042429209,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","uncl_p_Proteobacteria","Unassigned","ASV26 (p:Proteobacteria)"
"18","K4-aw_S83","ASV804",0.0364199216971684,"K4-aw_S83","Intake water",NA,NA,14,"K",NA,"410","AW","AW_Add-K","14","14","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV804 (g:Pseudomonas)"
