"","Sample","DPE","Flask","Individual","Strain","Family2","Group","Sample_name","fam_abundance","group2"
"1","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Comamonadaceae","Gut_Add-r","A10_10",0.0182199143664025,"Gut_Add-r: Aquaculture salmon strain"
"2","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Corynebacteriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"3","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Flavobacteriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"4","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Geodermatophilaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"5","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Lactobacillaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"6","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Methylobacteriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"7","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Microbacteriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"8","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Micrococcaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"9","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Moraxellaceae","Gut_Add-r","A10_10",0.036439828732805,"Gut_Add-r: Aquaculture salmon strain"
"10","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Neisseriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"11","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Oxalobacteraceae","Gut_Add-r","A10_10",37.9976314111324,"Gut_Add-r: Aquaculture salmon strain"
"12","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Planococcaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"13","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Propionibacteriaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"14","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Pseudomonadaceae","Gut_Add-r","A10_10",44.4201512252892,"Gut_Add-r: Aquaculture salmon strain"
"15","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Rhodobacteraceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"16","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Sphingomonadaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"17","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Staphylococcaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"18","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Streptococcaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"19","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Thermaceae","Gut_Add-r","A10_10",0,"Gut_Add-r: Aquaculture salmon strain"
"20","A10r-L10_S12",22,"A10",10,"Aquaculture salmon strain","Unassigned","Gut_Add-r","A10_10",8.18074155051471,"Gut_Add-r: Aquaculture salmon strain"
"21","A10r-L7_S9",22,"A10",7,"Aquaculture salmon strain","Comamonadaceae","Gut_Add-r","A10_7",0.100200400801603,"Gut_Add-r: Aquaculture salmon strain"
"22","A10r-L7_S9",22,"A10",7,"Aquaculture salmon strain","Corynebacteriaceae","Gut_Add-r","A10_7",11.4501730734196,"Gut_Add-r: Aquaculture salmon strain"
