"","Sample","DPE","Family2","Group","Sample_name","fam_abundance"
"1","A10r-rw_S75",22,"Burkholderiaceae","RW_Add-r","A10",0
"2","A10r-rw_S75",22,"Comamonadaceae","RW_Add-r","A10",0.47536337873663
"3","A10r-rw_S75",22,"Flavobacteriaceae","RW_Add-r","A10",0
"4","A10r-rw_S75",22,"Moraxellaceae","RW_Add-r","A10",0
"5","A10r-rw_S75",22,"Nitrospiraceae","RW_Add-r","A10",0
"6","A10r-rw_S75",22,"Oxalobacteraceae","RW_Add-r","A10",21.565042508456
"7","A10r-rw_S75",22,"Pseudomonadaceae","RW_Add-r","A10",43.8614132918914
"8","A10r-rw_S75",22,"Sphingomonadaceae","RW_Add-r","A10",0.41137215467593
"9","A10r-rw_S75",22,"Unassigned","RW_Add-r","A10",33.6593838559283
"10","A10r-rw_S75",22,"Xanthomonadaceae","RW_Add-r","A10",0.0182832068744858
"11","A11K-rw_S67",22,"Burkholderiaceae","RW_Add-K","A11",0.0274901493631449
"12","A11K-rw_S67",22,"Comamonadaceae","RW_Add-K","A11",1.72271602675708
"13","A11K-rw_S67",22,"Flavobacteriaceae","RW_Add-K","A11",0.943828461467974
"14","A11K-rw_S67",22,"Moraxellaceae","RW_Add-K","A11",0.192431045542014
"15","A11K-rw_S67",22,"Nitrospiraceae","RW_Add-K","A11",0
"16","A11K-rw_S67",22,"Oxalobacteraceae","RW_Add-K","A11",35.3889856134885
"17","A11K-rw_S67",22,"Pseudomonadaceae","RW_Add-K","A11",25.2726106478512
"18","A11K-rw_S67",22,"Sphingomonadaceae","RW_Add-K","A11",0.760560799047008
"19","A11K-rw_S67",22,"Unassigned","RW_Add-K","A11",35.5081095940621
"20","A11K-rw_S67",22,"Xanthomonadaceae","RW_Add-K","A11",0
"21","A13r-rw_S76",22,"Burkholderiaceae","RW_Add-r","A13",0
"22","A13r-rw_S76",22,"Comamonadaceae","RW_Add-r","A13",2.27585574011196
"23","A13r-rw_S76",22,"Flavobacteriaceae","RW_Add-r","A13",0.0183536753234835
"24","A13r-rw_S76",22,"Moraxellaceae","RW_Add-r","A13",0.0275305129852253
"25","A13r-rw_S76",22,"Nitrospiraceae","RW_Add-r","A13",0
"26","A13r-rw_S76",22,"Oxalobacteraceae","RW_Add-r","A13",38.2490593741397
"27","A13r-rw_S76",22,"Pseudomonadaceae","RW_Add-r","A13",17.7847113884555
"28","A13r-rw_S76",22,"Sphingomonadaceae","RW_Add-r","A13",10.021106726622
"29","A13r-rw_S76",22,"Unassigned","RW_Add-r","A13",31.3297237771864
"30","A13r-rw_S76",22,"Xanthomonadaceae","RW_Add-r","A13",0.220244103881802
"31","A14K-rw_S68",22,"Burkholderiaceae","RW_Add-K","A14",0
"32","A14K-rw_S68",22,"Comamonadaceae","RW_Add-K","A14",0.808080808080808
"33","A14K-rw_S68",22,"Flavobacteriaceae","RW_Add-K","A14",0.523415977961432
"34","A14K-rw_S68",22,"Moraxellaceae","RW_Add-K","A14",0.0642791551882461
"35","A14K-rw_S68",22,"Nitrospiraceae","RW_Add-K","A14",0
"36","A14K-rw_S68",22,"Oxalobacteraceae","RW_Add-K","A14",27.6400367309458
"37","A14K-rw_S68",22,"Pseudomonadaceae","RW_Add-K","A14",35.6014692378329
"38","A14K-rw_S68",22,"Sphingomonadaceae","RW_Add-K","A14",0.156106519742883
"39","A14K-rw_S68",22,"Unassigned","RW_Add-K","A14",35.1698806244261
"40","A14K-rw_S68",22,"Xanthomonadaceae","RW_Add-K","A14",0
"41","A2r-rw_S73",22,"Burkholderiaceae","RW_Add-r","A2",0
"42","A2r-rw_S73",22,"Comamonadaceae","RW_Add-r","A2",1.0146252285192
"43","A2r-rw_S73",22,"Flavobacteriaceae","RW_Add-r","A2",0
"44","A2r-rw_S73",22,"Moraxellaceae","RW_Add-r","A2",0
"45","A2r-rw_S73",22,"Nitrospiraceae","RW_Add-r","A2",0
"46","A2r-rw_S73",22,"Oxalobacteraceae","RW_Add-r","A2",24.0859232175503
"47","A2r-rw_S73",22,"Pseudomonadaceae","RW_Add-r","A2",38.1901279707495
"48","A2r-rw_S73",22,"Sphingomonadaceae","RW_Add-r","A2",1.15173674588665
"49","A2r-rw_S73",22,"Unassigned","RW_Add-r","A2",35.4936014625229
"50","A2r-rw_S73",22,"Xanthomonadaceae","RW_Add-r","A2",0.0548446069469836
"51","A3K-rw_S65",22,"Burkholderiaceae","RW_Add-K","A3",0
"52","A3K-rw_S65",22,"Comamonadaceae","RW_Add-K","A3",1.17409649605577
"53","A3K-rw_S65",22,"Flavobacteriaceae","RW_Add-K","A3",0.953953403045313
"54","A3K-rw_S65",22,"Moraxellaceae","RW_Add-K","A3",0.1284168042561
"55","A3K-rw_S65",22,"Nitrospiraceae","RW_Add-K","A3",0
"56","A3K-rw_S65",22,"Oxalobacteraceae","RW_Add-K","A3",22.1060355898
"57","A3K-rw_S65",22,"Pseudomonadaceae","RW_Add-K","A3",39.7358282883875
"58","A3K-rw_S65",22,"Sphingomonadaceae","RW_Add-K","A3",0.100898917629793
"59","A3K-rw_S65",22,"Unassigned","RW_Add-K","A3",35.7457347275729
"60","A3K-rw_S65",22,"Xanthomonadaceae","RW_Add-K","A3",0
"61","A5r-rw_S74",22,"Burkholderiaceae","RW_Add-r","A5",0
"62","A5r-rw_S74",22,"Comamonadaceae","RW_Add-r","A5",1.97512801755669
"63","A5r-rw_S74",22,"Flavobacteriaceae","RW_Add-r","A5",0.0182882223847842
"64","A5r-rw_S74",22,"Moraxellaceae","RW_Add-r","A5",0.0182882223847842
"65","A5r-rw_S74",22,"Nitrospiraceae","RW_Add-r","A5",0
"66","A5r-rw_S74",22,"Oxalobacteraceae","RW_Add-r","A5",39.3379663496708
"67","A5r-rw_S74",22,"Pseudomonadaceae","RW_Add-r","A5",23.2809070958303
"68","A5r-rw_S74",22,"Sphingomonadaceae","RW_Add-r","A5",3.008412582297
"69","A5r-rw_S74",22,"Unassigned","RW_Add-r","A5",32.2238478419898
"70","A5r-rw_S74",22,"Xanthomonadaceae","RW_Add-r","A5",0.100585223116313
"71","A6K-rw_S66",22,"Burkholderiaceae","RW_Add-K","A6",0
"72","A6K-rw_S66",22,"Comamonadaceae","RW_Add-K","A6",0.724970175277599
"73","A6K-rw_S66",22,"Flavobacteriaceae","RW_Add-K","A6",0.266128292190511
"74","A6K-rw_S66",22,"Moraxellaceae","RW_Add-K","A6",0.0825915389556759
"75","A6K-rw_S66",22,"Nitrospiraceae","RW_Add-K","A6",0
"76","A6K-rw_S66",22,"Oxalobacteraceae","RW_Add-K","A6",25.4014866477012
"77","A6K-rw_S66",22,"Pseudomonadaceae","RW_Add-K","A6",40.1303110947967
"78","A6K-rw_S66",22,"Sphingomonadaceae","RW_Add-K","A6",0.0550610259704506
"79","A6K-rw_S66",22,"Unassigned","RW_Add-K","A6",33.3210975497843
"80","A6K-rw_S66",22,"Xanthomonadaceae","RW_Add-K","A6",0
"81","K4-aw_S83",14,"Burkholderiaceae","AW_Add-K","14",1.06528270964217
