"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1","group2"
"1","A10r-L10_S12","ASV1",0.537487473808873,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"2","A10r-L10_S12","ASV3",21.5723786098205,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"3","A10r-L10_S12","ASV4",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"4","A10r-L10_S12","ASV17",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-r: Aquaculture salmon strain"
"5","A10r-L10_S12","ASV23",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-r: Aquaculture salmon strain"
"6","A10r-L10_S12","ASV27",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-r: Aquaculture salmon strain"
"7","A10r-L10_S12","ASV15",34.3354286234855,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"8","A10r-L10_S12","ASV6",14.3208526919923,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"9","A10r-L10_S12","ASV71",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-r: Aquaculture salmon strain"
"10","A10r-L10_S12","ASV55",0,"A10r-L10_S12","Gut","A10",10,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_10","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-r: Aquaculture salmon strain"
"11","A10r-L7_S9","ASV1",21.9256695208599,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"12","A10r-L7_S9","ASV3",18.026963016943,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"13","A10r-L7_S9","ASV4",12.7527782838404,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"14","A10r-L7_S9","ASV17",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-r: Aquaculture salmon strain"
"15","A10r-L7_S9","ASV23",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-r: Aquaculture salmon strain"
"16","A10r-L7_S9","ASV27",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-r: Aquaculture salmon strain"
"17","A10r-L7_S9","ASV15",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
"18","A10r-L7_S9","ASV6",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-r: Aquaculture salmon strain"
"19","A10r-L7_S9","ASV71",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-r: Aquaculture salmon strain"
"20","A10r-L7_S9","ASV55",0,"A10r-L7_S9","Gut","A10",7,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-r: Aquaculture salmon strain"
"21","A10r-L8_S10","ASV1",0,"A10r-L8_S10","Gut","A10",8,22,"r","Aquaculture salmon strain",NA,"Gut","Gut_Add-r","22","A10_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-r: Aquaculture salmon strain"
